Date, Median single-family home prices in King County
2014-12-18, 422200.39
2014-12-26, 422200.39
2015-01-03, 422200.39
2015-01-11, 422200.39
2015-01-20, 423379.17
2015-01-28, 422200.39
2015-02-05, 420432.22
2015-02-13, 418074.66
2015-02-21, 416306.48
2015-03-02, 415717.09
2015-03-10, 415717.09
2015-03-18, 417485.27
2015-03-26, 422200.39
2015-04-03, 426915.52
2015-04-12, 431630.65
2015-04-20, 438113.95
2015-04-28, 446365.42
2015-05-06, 455206.29
2015-05-15, 459921.41
2015-05-23, 462278.98
2015-05-31, 462868.37
2015-06-08, 464047.15
2015-06-16, 466994.11
2015-06-25, 469351.67
2015-07-03, 469351.67
2015-07-11, 468172.89
2015-07-19, 466994.11
2015-07-27, 468172.89
2015-08-05, 469351.67
2015-08-13, 472298.62
2015-08-21, 472888.02
2015-08-29, 471709.23
2015-09-07, 469941.06
2015-09-15, 466994.11
2015-09-23, 465225.93
2015-10-01, 462278.98
2015-10-09, 461689.59
2015-10-18, 462278.98
2015-10-26, 464636.54
2015-11-03, 469351.67
2015-11-11, 474656.19
2015-11-19, 482318.27
2015-11-28, 483497.05
2015-12-06, 485265.23
2015-12-14, 485854.62
2015-12-22, 487033.40
