Date,Real Home Price Index
1982-03-01,110.6477863
1982-04-01,110.3234574
1982-05-01,109.4277286
1982-06-01,108.0673658
1982-07-01,107.4846444
1982-08-01,107.2186223
1982-09-01,107.036741
1982-10-01,106.7075659
1982-11-01,106.9318866
1982-12-01,107.5520967
1983-01-01,107.6931511
1983-02-01,108.1426686
1983-03-01,108.5929078
1983-04-01,108.3775127
1983-05-01,108.2634069
1983-06-01,108.4660031
1983-07-01,108.6485637
1983-08-01,108.8037467
1983-09-01,108.55249
1983-10-01,108.4355556
1983-11-01,108.3692611
1983-12-01,108.5453267
1984-01-01,108.223273
1984-02-01,108.0417092
1984-03-01,108.3211956
1984-04-01,108.3998137
1984-05-01,108.7681998
1984-06-01,109.0787431
1984-07-01,109.2598056
1984-08-01,109.3637212
1984-09-01,109.1628821
1984-10-01,109.0530478
1984-11-01,109.0693041
1984-12-01,109.3070518
1985-01-01,109.477076
1985-02-01,109.4552348
1985-03-01,109.6651554
1985-04-01,109.890819
1985-05-01,110.3167121
1985-06-01,110.8025875
1985-07-01,111.3889946
1985-08-01,111.9514363
1985-09-01,112.3624677
1985-10-01,112.5808699
1985-11-01,112.8834873
1985-12-01,113.1746552
1986-01-01,113.5442737
1986-02-01,114.5293604
1986-03-01,115.9229886
1986-04-01,117.2063395
1986-05-01,117.9936013
1986-06-01,118.5156073
1986-07-01,119.693924
1986-08-01,120.5114341
1986-09-01,120.8558793
1986-10-01,121.4233405
1986-11-01,121.9180617
1986-12-01,122.7062213
1987-01-01,122.6380536
1987-02-01,122.9635014
1987-03-01,123.0563931
1987-04-01,123.3600533
1987-05-01,124.0097124
1987-06-01,124.8376592
1987-07-01,125.5746659
1987-08-01,125.8194572
1987-09-01,125.8198118
1987-10-01,126.0083507
1987-11-01,126.2533073
1987-12-01,126.720562
1988-01-01,126.8339878
1988-02-01,127.1202187
1988-03-01,127.3240029
1988-04-01,127.5212959
1988-05-01,128.2162296
1988-06-01,128.867925
1988-07-01,129.440088
1988-08-01,129.795268
1988-09-01,129.6233086
1988-10-01,129.6334248
1988-11-01,129.9561024
1988-12-01,130.1204093
1989-01-01,130.0746998
1989-02-01,130.1574889
1989-03-01,130.187577
1989-04-01,130.1358757
1989-05-01,130.1415242
1989-06-01,130.5148743
1989-07-01,130.7952616
1989-08-01,130.9802915
1989-09-01,130.8162103
1989-10-01,130.3054337
1989-11-01,130.0510213
1989-12-01,129.8057272
1990-01-01,128.5298855
1990-02-01,128.0277015
1990-03-01,127.6688601
1990-04-01,127.8841083
1990-05-01,128.0144472
1990-06-01,127.6672283
1990-07-01,127.267956
1990-08-01,125.9741313
1990-09-01,124.5267705
1990-10-01,123.2740599
1990-11-01,122.1484855
1990-12-01,121.4944128
1991-01-01,120.0744302
1991-02-01,119.4454747
1991-03-01,119.0894152
1991-04-01,119.19654
1991-05-01,119.5613269
1991-06-01,119.9711679
1991-07-01,120.2097481
1991-08-01,119.9783573
1991-09-01,119.4255983
1991-10-01,118.8063743
1991-11-01,118.0593384
1991-12-01,117.683567
1992-01-01,117.2869214
1992-02-01,116.7958805
1992-03-01,116.4531998
1992-04-01,116.6942476
1992-05-01,117.0142515
1992-06-01,116.9098102
1992-07-01,116.8246581
1992-08-01,116.5248964
1992-09-01,116.0375422
1992-10-01,115.5831137
1992-11-01,115.3916904
1992-12-01,115.3011073
1993-01-01,114.6315778
1993-02-01,114.1293699
1993-03-01,113.815427
1993-04-01,113.9108737
1993-05-01,114.3019127
1993-06-01,114.863758
1993-07-01,115.4105448
1993-08-01,115.453771
1993-09-01,115.3138679
1993-10-01,114.8008163
1993-11-01,114.7191426
1993-12-01,114.6369582
1994-01-01,114.4477169
1994-02-01,114.0678529
1994-03-01,113.8897155
1994-04-01,114.2461641
1994-05-01,114.9056464
1994-06-01,115.2287671
1994-07-01,115.440133
1994-08-01,115.3400327
1994-09-01,115.064165
1994-10-01,114.9356737
1994-11-01,114.5891575
1994-12-01,114.4590871
1995-01-01,113.929559
1995-02-01,113.4269295
1995-03-01,113.1738794
1995-04-01,113.2126757
1995-05-01,113.4408065
1995-06-01,113.7466134
1995-07-01,114.2292803
1995-08-01,114.2691085
1995-09-01,114.1626659
1995-10-01,113.7759709
1995-11-01,113.7163107
1995-12-01,113.6272996
1996-01-01,112.8457824
1996-02-01,112.4428507
1996-03-01,112.2306639
1996-04-01,112.4282019
1996-05-01,112.8645788
1996-06-01,113.4029288
1996-07-01,113.6891399
1996-08-01,113.7810987
1996-09-01,113.4978662
1996-10-01,113.0407028
1996-11-01,112.7297428
1996-12-01,112.6393507
1997-01-01,112.3405023
1997-02-01,112.0770434
1997-03-01,112.2167727
1997-04-01,112.624298
1997-05-01,113.4216978
1997-06-01,113.9916494
1997-07-01,114.4401957
1997-08-01,114.6378672
